rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
113,NO,,17,2012,AutomatL@bs Consortium,https://doi.org/10.4018/978-1-4666-1945-6.ch039,S. Dormido; Héctor Vargas; J. Sánchez,Industrial Engineering,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
114,NO,,17,2021,The Doer Effect: Replicating Findings that Doing Causes Learning,,R. V. Campenhout; Benny G. Johnson; J. Olsen,,No abstract and no LE signals in title/venue/authors.,semanticscholar
115,NO,,16,2019,Learning Engineering with EPS@ISEP: Developing Projects for Smart Sustainable Cities,https://doi.org/10.3991/ijep.v9i4.10259,Benedita Malheiro; Manuel F. Silva; Paulo Ferreira,International Journal of Engineering Pedagogy (iJEP),Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
116,NO,,16,2020,Real-Time Industrial Bin-Picking with a Hybrid Deep Learning-Engineering Approach,https://doi.org/10.1109/bigcomp48618.2020.00015,Sukhan Lee; Yeonho Lee,,No LE-discipline signals found.,openalex|semanticscholar
117,NO,,16,2015,Inclusion or Exclusion? The Impact of the Intersection of Team Culture and Student Identity and Pathway on Team Diversity,https://doi.org/10.18260/p.24273,Deborah Trytten; Rui Pan; Cindy Foor,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
118,NO,,16,2018,DEEP LEARNING IN SHEET-BULK METAL FORMING PART DESIGN,https://doi.org/10.21278/idc.2018.0147,Christopher Sauer; Benjamin Schleich; Sandro Wartzack,Proceedings of the ... International Design Conference/Design ...,"Deep learning in sheet-bulk metal forming — manufacturing ML, not LE discipline.",openalex|semanticscholar
119,NO,,16,2008,Transformational Paradigm for Engineering and Engineering Technology Education,,Enrique Barbieri; W. E. Fitzgibbon,University of North Texas Digital Library (University of North Texas),Engineering-education confusable phrasing; no LE venue/figure.,openalex
120,NO,,16,2013,"&amp;#x201C;We weren't intentionally excluding them&amp;#x2026;just old habits&amp;#x201D;: Women, (lack of) interest and an engineering student competition team",https://doi.org/10.1109/fie.2013.6684846,Cindy Foor; Susan Walden; Randa L. Shehab,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
121,NO,,16,2024,Pre-service elementary teachers’ science and engineering teaching self-efficacy and outcome expectancy: exploring the impacts of efficacy source experiences through varying course modalities,https://doi.org/10.1186/s40594-024-00464-9,Rebekah Hammack; Ibrahim H. Yeter; Christina Pavlovich,International Journal of STEM Education,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
122,NO,,16,2020,Exploring perspectives and experiences of diverse learners' acceptance of online educational engineering games as learning tools in the classroom,https://doi.org/10.1109/fie44824.2020.9273886,Kimberly Cook-Chennault; Idalis Villanueva,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
123,NO,,16,2008,From PIE to APPLES: The Evolution of a Survey Instrument to Explore Engineering Student Pathways. Research Brief.,,Helen L. Chen; K. Donaldson; O. Eris,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
124,NO,,15,2019,Using videos to improve oral presentation skills in distance learning engineering master's degrees,https://doi.org/10.1080/0020739x.2019.1662118,Carlos Galindo; Pablo Gregori; Vicente Martı́nez,International Journal of Mathematical Education in Science and Technology,Galindo video pilot in distance engineering master's — EngEd.,openalex|semanticscholar
125,NO,,15,2012,Learning Engineering Knowledge and Creativity by Solving Projects,https://doi.org/10.3991/ijep.v2i1.1873,Chunfang Zhou,International Journal of Engineering Pedagogy (iJEP),Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
126,YES,,15,2023,"AIED: From Cognitive Simulations to Learning Engineering, with Humans in the Middle",https://doi.org/10.1007/s40593-023-00349-y,Danielle S. McNamara,International Journal of Artificial Intelligence in Education,McNamara 'AIED: From Cognitive Simulations to Learning Engineering' — canonical LE paper.,openalex|semanticscholar
127,NO,,15,2003,From Learning to Talk to Learning Engineering; Drawing Connections Across the Disciplines,,Nikos J Mourtos,San José State University ScholarWorks (San Jose State University),Mourtos — conditions-of-learning applied to students learning engineering; EngEd.,openalex|semanticscholar
128,NO,,15,2010,"Engineering Service Learning, Engineering Entrepreneurship and assessment: Building a program that works",https://doi.org/10.1109/fie.2010.5673207,Lisa Zidek,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
129,NO,,15,2003,Teaching the writing and role of specifications via a structured teardown process,https://doi.org/10.1016/s0142-694x(03)00037-1,Tokio Abe; P. Starr,Design Studies,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
130,NO,,15,2021,Quantum gradient algorithm for general polynomials,https://doi.org/10.1103/physreva.103.042403,Pan Gao; Keren Li; Shijie Wei,"Physical review. A/Physical review, A",No LE-discipline signals found.,openalex|semanticscholar
131,NO,,15,2022,Evaluating the use of web-based games on students' vocabulary retention,https://doi.org/10.5267/j.ijdns.2022.4.001,Zuraina Ali; Norsuhaily Abu Bakar; Waqar Ahmad,International Journal of Data and Network Science,Ali OnVac game — 'learning engineering and technology words' = English vocab.,openalex|semanticscholar
132,NO,,15,2019,X-ray imaging virtual online laboratory for engineering undergraduates,https://doi.org/10.1088/1361-6404/ab5011,Alberto Corbí; Daniel Burgos; Franck Vidal,European Journal of Physics,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
133,NO,,15,2021,"Gamifying Sustainable Engineering Courses: Student and Instructor Perspectives of Community, Engagement, Learning, and Retention",https://doi.org/10.1061/(asce)ei.2643-9115.0000047,Renee Clark; Abra Spisso; Kevin Ketchman,Journal of Civil Engineering Education,Engineering-education confusable phrasing; no LE venue/figure.,openalex
134,NO,,15,2020,Desiging the Pathways of Engineering Alumni Research Survey (PEARS),https://doi.org/10.18260/1-2--21143,Helen L. Chen; Michelle Grau; Samantha Brunhaver,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
135,NO,,14,1986,Cooperative learning: Engineering social psychology in the classroom.,,Robert E. Slavin,,No abstract and no LE signals in title/venue/authors.,openalex
136,YES,,14,2018,Learning Engineering,https://doi.org/10.4324/9781351186193-11,John H. Richards; Chris Dede; Bror Saxberg,,Richards/Dede/Saxberg chapter titled 'Learning Engineering' in DTP model book; LE-framed iterative development at scale.,openalex|semanticscholar
137,NO,,14,2004,Engineering Acoustics,https://doi.org/10.1007/978-3-662-05391-1,Michael Möser,,No abstract and no LE signals in title/venue/authors.,openalex
138,NO,,14,2017,Engineering Cognition: A Process of Knowledge Acquisition and Application,https://doi.org/10.1007/978-3-319-66659-4_8,Şenay Purzer; Tamara Moore; Emily Dringenberg,Innovations in science education and technology,No abstract and no LE signals in title/venue/authors.,openalex|semanticscholar
139,NO,,14,2020,"""You choose between TEAM A, good grades, and a girlfriend - you get to choose two!"" - How a culture of exclusion is constructed and maintained in an engineering design competition team",https://doi.org/10.18260/1-2--19027,Cindy Foor; Susan Walden; Deborah Trytten,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
140,NO,,14,2022,Master of industrial training 2.0.: Human resources capacity of the project “Professionalitat”,https://doi.org/10.17853/1994-5639-2022-1-67-100,Valery Dubitsky; А.А. Коновалов; А. И. Лыжин,The Education and science journal,Engineering-education confusable phrasing; no LE venue/figure.,openalex
141,NO,,14,2011,National Survey of States’ P-12 Engineering Standards,https://doi.org/10.18260/1-2--18779,J. Strobel; Ronald L. Carr; Nilson E. Martinez-Lopez,,No abstract and no LE signals in title/venue/authors.,semanticscholar
142,YES,,13,2022,Learning sciences and learning engineering: A natural or artificial distinction?,https://doi.org/10.1080/10508406.2022.2100705,Victor R. Lee,Journal of the Learning Sciences,Lee JLS 2022 — canonical LE-discipline paper on LS vs LE distinction.,openalex|semanticscholar
143,YES,,13,2022,"Learning engineering: A view on where the field is at, where it’s going, and the research needed.",https://doi.org/10.1037/tmb0000058,Ryan S. Baker; Ulrich Boser; Erica L. Snow,Technology Mind and Behavior,Baker/Boser/Snow TMB 2022 — canonical 'Learning Engineering: where the field is at'.,openalex|semanticscholar
144,YES,,13,2020,A Learning Engineering Model for Learner-Centered Adaptive Systems,https://doi.org/10.1007/978-3-030-60128-7_41,Jim Goodell; Khanh-Phuong Thai,Lecture notes in computer science,Goodell & Thai 'A Learning Engineering Model for Learner-Centered Adaptive Systems' — LE-framed.,openalex|semanticscholar
145,NO,,13,2009,Places for learning engineering: a preliminary report on informal learning spaces,https://doi.org/10.25916/sut.26275777,Rosemary Chang; Linda Stern; Harald Søndergaard,Swinburne Research Bank (Swinburne University of Technology),Chang 'Places for learning engineering' informal-learning-spaces in EngEd faculty.,openalex
146,NO,,13,2024,Use of Generative Artificial Intelligence in Teaching and Learning: Engineering Instructors' Perspectives,https://doi.org/10.1002/cae.22813,Phiwe M. Simelane; Javeed Kittur,Computer Applications in Engineering Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
147,NO,,13,2015,ISSUES IN LEARNING ENGINEERING GRAPHICS FUNDAMENTALS: SHALL WE BLAME CAD?,,Riccardo Metraglia; Gabriele Baronio; Valerio Villa,Institutional Research Information System (Università degli Studi di Brescia),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
148,NO,,13,2020,Learning from Failure: Developing a Typology to Enhance Global Service-learning Engineering Projects,https://doi.org/10.18260/1-2--20744,Andrea Mazzurco; Brent Jesiek,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
149,NO,,13,2013,Generic skills in engineering mathematics through blended learning: A mathematical thinking approach,,Hamidreza Kashefi; Zaleha Ismail; Yudariah Mohammad-Yusof,International journal of engineering education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
150,NO,,13,2005,An innovative improvement of engineering learning system using computational fluid dynamics concept,https://doi.org/10.1016/j.compedu.2004.11.003,T. C. Hung; S.K. Wang; Shih-Hsuan Tai,Computers & Education,No abstract and no LE signals in title/venue/authors.,openalex
151,NO,,13,2015,Advances in Engineering Education in the Middle East and North Africa,https://doi.org/10.1007/978-3-319-15323-0,Mahmoud Abdulwahed; Mazen O. Hasna; Jeffrey E. Froyd,,No abstract and no LE signals in title/venue/authors.,openalex
152,NO,,13,2012,Industrial-Like Vehicle Platforms for Postgraduate Laboratory Courses on Robotics,https://doi.org/10.1109/te.2012.2213090,Pedro Navarro; Carlos Fernández; Pedro Sánchez,IEEE Transactions on Education,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
153,NO,,13,2011,A historical overview of recent developments in the search for a philosophy of engineering education,https://doi.org/10.1109/fie.2011.6143135,John S. Heywood,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
154,NO,,13,2021,Learning Methods on Environmental Education to Improve Pre-Service Teachers’ Environmental Literacy,https://doi.org/10.55215/jber.v2i2.4137,Febrianawati Yusup; Istiqamah Istiqamah; Khairunnisa Khairunnisa,Journal Of Biology Education Research (JBER),Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
155,NO,,13,2020,"On a Client-Centered, Sophomore Design Course Sequence",https://doi.org/10.18260/1-2--21747,Robert Nagel; Olga Pierrakos; Jacquelyn Nagel,,Nagel client-centered sophomore design course — EngEd curriculum paper.,openalex
156,NO,,13,2009,"Purzer, Learning Engineering in Teams: Perspectives from Two Different Learning Theories",,Ș. Purzer,,engineering-education study of student teams,semanticscholar
157,NO,,13,2015,Developing the Postsecondary Student Engagement Survey (PosSES) to Measure Undergraduate Engineering Students’ Out-of-Class Involvement,https://doi.org/10.18260/p.23845,Denise R. Simmons; Chosang Tendhar; Rongrong Yu,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
158,YES,,12,2022,Learning Engineering is a Process,https://doi.org/10.4324/9781003276579-5,Aaron Kessler; Scotty D. Craig; Jim Goodell,,Kessler/Craig/Goodell 'Learning Engineering is a Process' — canonical LE Toolkit chapter.,openalex
159,NO,,12,2002,"Service learning: engineering, construction science, and the experiential curriculum",https://doi.org/10.1109/fie.2001.963746,Jim Martin; M. E. Haque,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
160,NO,,12,2021,Evaluation of Remote or Virtual Laboratories in E-Learning Engineering Courses,https://doi.org/10.1109/educon46332.2021.9454067,Yuanyuan Fan; Ana Catarina Jorge Evangelista; V Indumathi,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
